2023-04-20 05:33:45,053 INFO Tickers: ['CB']
2023-04-20 05:34:02,921 INFO Negative OS: -0.5076707890752048 --- ticker CB --- day 2018-01-24 --- time 50400
2023-04-20 05:34:03,710 INFO Negative OS: -0.8975870285410616 --- ticker CB --- day 2018-02-09 --- time 41400
2023-04-20 05:34:03,954 INFO Negative OS: -1.8877713793996778 --- ticker CB --- day 2018-02-14 --- time 52200
2023-04-20 05:34:04,215 INFO Negative OS: -1.1139197826404978 --- ticker CB --- day 2018-02-21 --- time 52200
2023-04-20 05:34:05,984 INFO Negative OS: -1.0703414439463779 --- ticker CB --- day 2018-04-02 --- time 52200
2023-04-20 05:34:09,393 INFO Negative OS: -0.8653217354221421 --- ticker CB --- day 2018-06-14 --- time 39600
2023-04-20 05:34:15,557 INFO Negative OS: -0.0006815943716607098 --- ticker CB --- day 2018-10-16 --- time 41400
2023-04-20 05:34:16,490 INFO Negative OS: -0.25313010877016073 --- ticker CB --- day 2018-10-31 --- time 41400
2023-04-20 05:34:16,588 INFO Negative OS: -0.059881073542283225 --- ticker CB --- day 2018-11-01 --- time 45000
2023-04-20 05:34:17,043 INFO Negative OS: -0.22667864569095286 --- ticker CB --- day 2018-11-09 --- time 43200
2023-04-20 05:34:19,361 INFO Negative OS: -0.20068806329765243 --- ticker CB --- day 2018-12-26 --- time 41400
2023-04-20 05:34:19,535 INFO Negative OS: -0.2623925313613247 --- ticker CB --- day 2018-12-28 --- time 43200
2023-04-20 05:34:32,704 INFO Negative OS: -0.35859909070764884 --- ticker CB --- day 2019-08-30 --- time 46800
2023-04-20 05:34:32,715 INFO Negative OS: -0.24155674173795916 --- ticker CB --- day 2019-08-30 --- time 50400
2023-04-20 05:34:35,746 INFO Negative OS: -2.454874484713561 --- ticker CB --- day 2019-10-31 --- time 52200
2023-04-20 05:34:37,738 INFO in_r2: 0.7936310123603826 , std 0.10716523887150296 
2023-04-20 05:34:37,738 INFO os_r2: 0.7222957124164672 , std 0.20443257486769167 
2023-04-20 05:34:37,739 INFO intercept: 2.3674242424242462e-08 , std 1.5994075249426105e-05 
2023-04-20 05:34:37,739 INFO pca_1: 6.8204276449044405e-06 , std 6.55711681325105e-05 
2023-04-20 05:34:37,739 INFO pca_2: -9.804579626292323e-06 , std 0.00016096008196074578 
2023-04-20 05:34:37,739 INFO pca_3: -8.767511903484248e-06 , std 0.00012839936494104577 
2023-04-20 05:34:37,739 INFO pca_4: -3.5003422672682167e-06 , std 0.0001251558598506883 
2023-04-20 05:34:37,739 INFO pca_5: -6.466591360133367e-06 , std 0.0001340727089480304 
2023-04-20 05:34:37,739 INFO pca_6: -2.1475182024606025e-06 , std 0.0001233084895144765 
2023-04-20 05:34:37,739 INFO pca_7: -3.936049497389569e-06 , std 0.00011572712702313334 
2023-04-20 05:34:37,739 INFO pca_8: -3.7952294719162605e-06 , std 0.00011170587195503263 
2023-04-20 05:34:37,739 INFO pca_9: -5.3487955071641036e-06 , std 0.00010570458702579866 
2023-04-20 05:34:37,739 INFO pca_10: -6.759761929392771e-06 , std 0.00010435394556914822 
2023-04-20 05:34:37,739 INFO t_intercept: 0.027886781128305293 , std 2.321102646169878 
2023-04-20 05:34:37,739 INFO t_pca_1: 1.4983432367167449 , std 15.850355957557314 
2023-04-20 05:34:37,739 INFO t_pca_2: -1.3554210221500556 , std 19.05844481849329 
2023-04-20 05:34:37,739 INFO t_pca_3: -0.7084094736420444 , std 10.756842761217857 
2023-04-20 05:34:37,739 INFO t_pca_4: -0.278866858199242 , std 7.962757897329102 
2023-04-20 05:34:37,739 INFO t_pca_5: -0.3640351507731687 , std 6.142902322843898 
2023-04-20 05:34:37,739 INFO t_pca_6: -0.19271250754300384 , std 4.9114794926325995 
2023-04-20 05:34:37,739 INFO t_pca_7: -0.17767513666873785 , std 3.9202405075106106 
2023-04-20 05:34:37,739 INFO t_pca_8: -0.2032990922699016 , std 3.4752846689066645 
2023-04-20 05:34:37,739 INFO t_pca_9: -0.15117185385789073 , std 3.0235217634176754 
2023-04-20 05:34:37,739 INFO t_pca_10: -0.1342104261958716 , std 2.6913890052065135 
2023-04-20 05:34:37,739 INFO p_intercept: 0.27495130309213345 , std 0.3070529245916315 
2023-04-20 05:34:37,739 INFO p_pca_1: 0.029962036300441034 , std 0.13025806341536728 
2023-04-20 05:34:37,739 INFO p_pca_2: 0.029229480169117892 , std 0.12984582225631486 
2023-04-20 05:34:37,739 INFO p_pca_3: 0.06872367636671099 , std 0.18928119370775903 
2023-04-20 05:34:37,739 INFO p_pca_4: 0.09797813558533236 , std 0.21779688584924203 
2023-04-20 05:34:37,739 INFO p_pca_5: 0.1492779767421158 , std 0.264282613054142 
2023-04-20 05:34:37,739 INFO p_pca_6: 0.15555114898005984 , std 0.25513954393486954 
2023-04-20 05:34:37,739 INFO p_pca_7: 0.1889861991336029 , std 0.27598753498928663 
2023-04-20 05:34:37,739 INFO p_pca_8: 0.221454369676967 , std 0.2954109882148411 
2023-04-20 05:34:37,739 INFO p_pca_9: 0.2440878751287616 , std 0.29725265894475883 
2023-04-20 05:34:37,739 INFO p_pca_10: 0.2607320940636979 , std 0.30295513018791187 
