2023-04-20 05:29:38,546 INFO Tickers: ['ORCL']
2023-04-20 05:29:45,878 INFO Negative OS: -0.37629748148507347 --- ticker ORCL --- day 2017-05-04 --- time 41400
2023-04-20 05:30:00,742 INFO Negative OS: -0.19418975028347818 --- ticker ORCL --- day 2018-01-11 --- time 50400
2023-04-20 05:30:16,299 INFO Negative OS: -0.1527775897413972 --- ticker ORCL --- day 2018-09-27 --- time 50400
2023-04-20 05:30:23,827 INFO Negative OS: -0.06861338319588484 --- ticker ORCL --- day 2019-02-04 --- time 39600
2023-04-20 05:30:27,248 INFO Negative OS: -0.020910668218673267 --- ticker ORCL --- day 2019-04-01 --- time 48600
2023-04-20 05:30:27,254 INFO Negative OS: -4.056401965348658 --- ticker ORCL --- day 2019-04-01 --- time 50400
2023-04-20 05:30:28,127 INFO Negative OS: -7.198092425066767 --- ticker ORCL --- day 2019-04-15 --- time 52200
2023-04-20 05:30:38,033 INFO Negative OS: -1.9486819746031996 --- ticker ORCL --- day 2019-09-26 --- time 45000
2023-04-20 05:30:42,859 INFO in_r2: 0.9761716070692701 , std 0.029403267649707875 
2023-04-20 05:30:42,859 INFO os_r2: 0.9491588418241448 , std 0.13747284233916438 
2023-04-20 05:30:42,859 INFO intercept: -9.576435701074579e-08 , std 1.3541627174772104e-05 
2023-04-20 05:30:42,859 INFO pca_1: -1.3007165032255878e-05 , std 0.00017113650573725983 
2023-04-20 05:30:42,859 INFO pca_2: 4.065542318178536e-06 , std 0.00013549013455978404 
2023-04-20 05:30:42,859 INFO pca_3: 2.512543516636186e-08 , std 0.00015043115640052377 
2023-04-20 05:30:42,859 INFO pca_4: 4.785752399245841e-06 , std 0.00018098472583423045 
2023-04-20 05:30:42,859 INFO pca_5: 1.4662421059013856e-06 , std 0.00018501590528446565 
2023-04-20 05:30:42,859 INFO pca_6: -1.9174222452987525e-06 , std 0.00016339860099157368 
2023-04-20 05:30:42,859 INFO pca_7: -2.386472312797776e-06 , std 0.00014692679388934445 
2023-04-20 05:30:42,859 INFO pca_8: -1.6415091292941206e-06 , std 0.00012675349138427703 
2023-04-20 05:30:42,859 INFO pca_9: 2.269528749111787e-06 , std 0.00011537980455083463 
2023-04-20 05:30:42,859 INFO pca_10: -2.408398064267238e-06 , std 0.00011153337976441813 
2023-04-20 05:30:42,859 INFO t_intercept: -0.03241388862107979 , std 8.912066647142815 
2023-04-20 05:30:42,860 INFO t_pca_1: -9.506537108997794 , std 106.1163185822957 
2023-04-20 05:30:42,860 INFO t_pca_2: 1.2128273181044702 , std 47.07534856503984 
2023-04-20 05:30:42,860 INFO t_pca_3: -0.10346997137391159 , std 32.12558334509446 
2023-04-20 05:30:42,860 INFO t_pca_4: 0.4402873029831382 , std 31.925067773675643 
2023-04-20 05:30:42,860 INFO t_pca_5: 0.004924694748965745 , std 23.76109100364792 
2023-04-20 05:30:42,860 INFO t_pca_6: -0.23957243689275484 , std 16.7100980616059 
2023-04-20 05:30:42,860 INFO t_pca_7: -0.0839281908868594 , std 12.471542561505602 
2023-04-20 05:30:42,860 INFO t_pca_8: -0.07540691426217007 , std 9.148430917638427 
2023-04-20 05:30:42,860 INFO t_pca_9: 0.16898846345510707 , std 7.142148812921213 
2023-04-20 05:30:42,860 INFO t_pca_10: -0.11920079859320058 , std 5.836474394827968 
2023-04-20 05:30:42,860 INFO p_intercept: 0.09794044853588396 , std 0.23660530901792973 
2023-04-20 05:30:42,860 INFO p_pca_1: 0.0037054671100620862 , std 0.04820307469080284 
2023-04-20 05:30:42,860 INFO p_pca_2: 0.024828430708521355 , std 0.12155006974510586 
2023-04-20 05:30:42,860 INFO p_pca_3: 0.027745877818031922 , std 0.12341747506454993 
2023-04-20 05:30:42,860 INFO p_pca_4: 0.032287265719811525 , std 0.13366106120940596 
2023-04-20 05:30:42,860 INFO p_pca_5: 0.03346036998830887 , std 0.13730634054570115 
2023-04-20 05:30:42,860 INFO p_pca_6: 0.04667430547457056 , std 0.1609184445469566 
2023-04-20 05:30:42,860 INFO p_pca_7: 0.060576400431231095 , std 0.17916080950185553 
2023-04-20 05:30:42,860 INFO p_pca_8: 0.08167938609737138 , std 0.2023935433874108 
2023-04-20 05:30:42,860 INFO p_pca_9: 0.10760746006902232 , std 0.22752807633302977 
2023-04-20 05:30:42,860 INFO p_pca_10: 0.12827121943638828 , std 0.24336706797802474 
