2023-04-20 05:27:25,716 INFO Tickers: ['ABT']
2023-04-20 05:28:20,417 INFO Negative OS: -0.35819640998199054 --- ticker ABT --- day 2019-07-02 --- time 37800
2023-04-20 05:28:22,072 INFO Negative OS: -18.367240923854286 --- ticker ABT --- day 2019-07-29 --- time 50400
2023-04-20 05:28:24,281 INFO Negative OS: -24.936341501699367 --- ticker ABT --- day 2019-09-03 --- time 50400
2023-04-20 05:28:24,459 INFO Negative OS: -3.6318777054940083 --- ticker ABT --- day 2019-09-05 --- time 52200
2023-04-20 05:28:26,742 INFO Negative OS: -0.4834699882958682 --- ticker ABT --- day 2019-10-14 --- time 41400
2023-04-20 05:28:27,700 INFO Negative OS: -2.0130201531192435 --- ticker ABT --- day 2019-10-29 --- time 43200
2023-04-20 05:28:28,300 INFO Negative OS: -0.057116560716179654 --- ticker ABT --- day 2019-11-07 --- time 41400
2023-04-20 05:28:29,674 INFO Negative OS: -0.16465485683370606 --- ticker ABT --- day 2019-12-02 --- time 48600
2023-04-20 05:28:30,084 INFO Negative OS: -6.856667278695912 --- ticker ABT --- day 2019-12-09 --- time 43200
2023-04-20 05:28:30,112 INFO Negative OS: -0.29927634811761306 --- ticker ABT --- day 2019-12-09 --- time 52200
2023-04-20 05:28:30,484 INFO in_r2: 0.9494549225132624 , std 0.04284819930924609 
2023-04-20 05:28:30,484 INFO os_r2: 0.9235382928126612 , std 0.4189347599404298 
2023-04-20 05:28:30,484 INFO intercept: 3.873274906819784e-07 , std 1.476708985356765e-05 
2023-04-20 05:28:30,484 INFO pca_1: -1.6499717201820242e-06 , std 0.0001430367390520123 
2023-04-20 05:28:30,484 INFO pca_2: 1.4407680745018578e-06 , std 0.00022057986290793688 
2023-04-20 05:28:30,484 INFO pca_3: 3.412681734203694e-06 , std 0.00014583401673065244 
2023-04-20 05:28:30,484 INFO pca_4: 1.9557587367943786e-06 , std 0.0001340636103299852 
2023-04-20 05:28:30,484 INFO pca_5: -9.742720243703118e-09 , std 0.00011937062179391173 
2023-04-20 05:28:30,484 INFO pca_6: 1.5183816571419987e-06 , std 0.00010612734268911464 
2023-04-20 05:28:30,484 INFO pca_7: -8.997205110178054e-09 , std 9.215042337711996e-05 
2023-04-20 05:28:30,484 INFO pca_8: -6.147257139357584e-07 , std 8.196800342221436e-05 
2023-04-20 05:28:30,484 INFO pca_9: -7.214816013034134e-07 , std 7.581088582916922e-05 
2023-04-20 05:28:30,484 INFO pca_10: -1.947738032241176e-06 , std 7.301558033290285e-05 
2023-04-20 05:28:30,484 INFO t_intercept: 0.2945949984188263 , std 6.174478800486484 
2023-04-20 05:28:30,484 INFO t_pca_1: -0.8434541490675235 , std 58.316005126512685 
2023-04-20 05:28:30,484 INFO t_pca_2: -0.002421407804776167 , std 51.48048816670961 
2023-04-20 05:28:30,484 INFO t_pca_3: 0.5608055210443248 , std 23.63719268136414 
2023-04-20 05:28:30,484 INFO t_pca_4: 0.29785243086115154 , std 16.80377993994005 
2023-04-20 05:28:30,484 INFO t_pca_5: -0.029870442155561654 , std 12.288939158270987 
2023-04-20 05:28:30,484 INFO t_pca_6: 0.14209347557748428 , std 9.286006044049534 
2023-04-20 05:28:30,484 INFO t_pca_7: -0.00395520382397179 , std 6.822944864019246 
2023-04-20 05:28:30,484 INFO t_pca_8: -0.02515172651361025 , std 5.255509345351085 
2023-04-20 05:28:30,484 INFO t_pca_9: -0.05270958849124329 , std 4.153893006762266 
2023-04-20 05:28:30,484 INFO t_pca_10: -0.08899342917411282 , std 3.421493114495913 
2023-04-20 05:28:30,484 INFO p_intercept: 0.13846858176882734 , std 0.2557620801632057 
2023-04-20 05:28:30,484 INFO p_pca_1: 0.0041477624060484415 , std 0.04592379572495901 
2023-04-20 05:28:30,484 INFO p_pca_2: 0.009970413633796263 , std 0.07666320072152093 
2023-04-20 05:28:30,484 INFO p_pca_3: 0.03728548404924477 , std 0.14240038085038229 
2023-04-20 05:28:30,484 INFO p_pca_4: 0.05558874100364206 , std 0.17279399968989725 
2023-04-20 05:28:30,484 INFO p_pca_5: 0.07058388354825085 , std 0.19167230125916063 
2023-04-20 05:28:30,484 INFO p_pca_6: 0.09683028962442697 , std 0.21920601210919022 
2023-04-20 05:28:30,484 INFO p_pca_7: 0.12511414414036096 , std 0.2422502467170518 
2023-04-20 05:28:30,484 INFO p_pca_8: 0.1607250952304712 , std 0.2655033278467747 
2023-04-20 05:28:30,484 INFO p_pca_9: 0.1979606940583434 , std 0.2857371174093913 
2023-04-20 05:28:30,484 INFO p_pca_10: 0.2307706140993415 , std 0.29606999432374426 
