2023-04-20 05:23:15,095 INFO Tickers: ['JNJ']
2023-04-20 05:23:35,886 INFO Negative OS: -2.0620442653317173 --- ticker JNJ --- day 2018-01-11 --- time 41400
2023-04-20 05:23:39,733 INFO Negative OS: -0.5853268693019431 --- ticker JNJ --- day 2018-02-06 --- time 46800
2023-04-20 05:23:45,379 INFO Negative OS: -0.350147741114583 --- ticker JNJ --- day 2018-03-08 --- time 39600
2023-04-20 05:23:49,657 INFO Negative OS: -2.84364819394263 --- ticker JNJ --- day 2018-04-02 --- time 36000
2023-04-20 05:24:36,116 INFO Negative OS: -0.005141543005553251 --- ticker JNJ --- day 2018-12-03 --- time 46800
2023-04-20 05:24:39,132 INFO Negative OS: -0.3912018684041618 --- ticker JNJ --- day 2018-12-19 --- time 48600
2023-04-20 05:25:30,753 INFO Negative OS: -0.06643076202762077 --- ticker JNJ --- day 2019-09-23 --- time 52200
2023-04-20 05:25:42,167 INFO Negative OS: -1.9218320959537483 --- ticker JNJ --- day 2019-11-20 --- time 48600
2023-04-20 05:25:46,641 INFO in_r2: 0.892317584274289 , std 0.05943873500445695 
2023-04-20 05:25:46,641 INFO os_r2: 0.8667888649394705 , std 0.10836340033193717 
2023-04-20 05:25:46,641 INFO intercept: 2.8451202601252983e-08 , std 1.3030446003408378e-05 
2023-04-20 05:25:46,641 INFO pca_1: 3.47297522914517e-07 , std 6.722176497958539e-05 
2023-04-20 05:25:46,641 INFO pca_2: -3.87451676841172e-06 , std 0.00014038835010418986 
2023-04-20 05:25:46,641 INFO pca_3: -7.992691488906758e-07 , std 7.912809693551401e-05 
2023-04-20 05:25:46,641 INFO pca_4: 6.152549593024084e-07 , std 6.38894896110596e-05 
2023-04-20 05:25:46,641 INFO pca_5: -6.088115981026136e-07 , std 5.3110412530914205e-05 
2023-04-20 05:25:46,641 INFO pca_6: -2.9992342170115563e-07 , std 4.58333902793128e-05 
2023-04-20 05:25:46,641 INFO pca_7: -6.896299305138706e-07 , std 4.1641153895548116e-05 
2023-04-20 05:25:46,641 INFO pca_8: -6.063381233627822e-07 , std 3.8077940740403425e-05 
2023-04-20 05:25:46,641 INFO pca_9: 3.1158672439128864e-07 , std 3.532604919779283e-05 
2023-04-20 05:25:46,641 INFO pca_10: -2.997494005081632e-07 , std 3.517440025059655e-05 
2023-04-20 05:25:46,641 INFO t_intercept: 0.09753561042021171 , std 3.2850623763070494 
2023-04-20 05:25:46,641 INFO t_pca_1: 0.29107457413468557 , std 27.60032075531895 
2023-04-20 05:25:46,641 INFO t_pca_2: -0.8387870838216052 , std 30.513507445204695 
2023-04-20 05:25:46,641 INFO t_pca_3: -0.03561325005113045 , std 12.816635674889593 
2023-04-20 05:25:46,641 INFO t_pca_4: 0.07089553213154061 , std 8.392767788847824 
2023-04-20 05:25:46,641 INFO t_pca_5: -0.05772209158484236 , std 6.010599341751082 
2023-04-20 05:25:46,642 INFO t_pca_6: -0.0004183072755285569 , std 4.535100426342108 
2023-04-20 05:25:46,642 INFO t_pca_7: -0.06220474730172264 , std 3.611230016105227 
2023-04-20 05:25:46,642 INFO t_pca_8: -0.013744614662062478 , std 2.968115560787217 
2023-04-20 05:25:46,642 INFO t_pca_9: 0.01881094963503691 , std 2.434790777862973 
2023-04-20 05:25:46,642 INFO t_pca_10: -0.014975378824185386 , std 2.069138411625684 
2023-04-20 05:25:46,642 INFO p_intercept: 0.21927758678034176 , std 0.29175263310645844 
2023-04-20 05:25:46,642 INFO p_pca_1: 0.005729374435745187 , std 0.06068486141376798 
2023-04-20 05:25:46,642 INFO p_pca_2: 0.012127087784226824 , std 0.08341532511059024 
2023-04-20 05:25:46,642 INFO p_pca_3: 0.0714604707046178 , std 0.19159481643034834 
2023-04-20 05:25:46,642 INFO p_pca_4: 0.10813456014732768 , std 0.2322802073876627 
2023-04-20 05:25:46,642 INFO p_pca_5: 0.16086581775375333 , std 0.26887890632820755 
2023-04-20 05:25:46,642 INFO p_pca_6: 0.21889884681206045 , std 0.2919573360199249 
2023-04-20 05:25:46,642 INFO p_pca_7: 0.2621215770905167 , std 0.30370725630090634 
2023-04-20 05:25:46,642 INFO p_pca_8: 0.3014128489528516 , std 0.3110679850883974 
2023-04-20 05:25:46,642 INFO p_pca_9: 0.3364561904091861 , std 0.3149913961988905 
2023-04-20 05:25:46,642 INFO p_pca_10: 0.36300847565078753 , std 0.3145014606579691 
