2023-04-21 12:01:46,104 INFO Tickers: ['JPM']
2023-04-21 12:02:33,463 INFO Negative OS: -0.23800127388539805 --- ticker JPM --- day 2019-04-29 --- time 48600
2023-04-21 12:02:45,849 INFO in_r2: 0.9633096528893581 , std 0.023357864229296338 
2023-04-21 12:02:45,850 INFO os_r2: 0.9538214417424449 , std 0.035048922573278705 
2023-04-21 12:02:45,850 INFO intercept: -2.1091998133851036e-07 , std 1.4319079746308547e-05 
2023-04-21 12:02:45,850 INFO pca_1: -5.86483495674213e-06 , std 6.286793020338915e-05 
2023-04-21 12:02:45,850 INFO pca_2: -3.5651214483008316e-06 , std 0.00017205039428332656 
2023-04-21 12:02:45,850 INFO pca_3: -4.7047902592740703e-07 , std 8.646669533496481e-05 
2023-04-21 12:02:45,850 INFO pca_4: 2.8756836362583694e-06 , std 7.332435819350213e-05 
2023-04-21 12:02:45,850 INFO pca_5: -3.0616035885646674e-07 , std 6.434002512419606e-05 
2023-04-21 12:02:45,850 INFO pca_6: -7.135920936540038e-07 , std 5.541104561658032e-05 
2023-04-21 12:02:45,850 INFO pca_7: -8.902896280246737e-08 , std 4.735907252395916e-05 
2023-04-21 12:02:45,850 INFO pca_8: 4.5548490684645094e-07 , std 4.2568141472115594e-05 
2023-04-21 12:02:45,850 INFO pca_9: 1.055491060210451e-06 , std 3.857348538903317e-05 
2023-04-21 12:02:45,850 INFO pca_10: 1.6311415239417126e-07 , std 3.543226445592361e-05 
2023-04-21 12:02:45,850 INFO t_intercept: -0.012450995528316312 , std 5.617172731915915 
2023-04-21 12:02:45,850 INFO t_pca_1: -3.987089725295014 , std 37.71087586084579 
2023-04-21 12:02:45,850 INFO t_pca_2: -1.1882757845664447 , std 58.188152658763805 
2023-04-21 12:02:45,850 INFO t_pca_3: -0.10053903018992187 , std 23.746609550276435 
2023-04-21 12:02:45,850 INFO t_pca_4: 0.6908426714550245 , std 16.936547674115232 
2023-04-21 12:02:45,850 INFO t_pca_5: -0.050665263407510666 , std 12.841703182318916 
2023-04-21 12:02:45,850 INFO t_pca_6: -0.08715999781393623 , std 9.784390860855542 
2023-04-21 12:02:45,850 INFO t_pca_7: -0.02668599304194472 , std 7.526687852758933 
2023-04-21 12:02:45,850 INFO t_pca_8: 0.07233903332903002 , std 6.016240748305843 
2023-04-21 12:02:45,850 INFO t_pca_9: 0.11810846672304674 , std 4.788845807049605 
2023-04-21 12:02:45,850 INFO t_pca_10: 0.01933654262609446 , std 3.622550796356781 
2023-04-21 12:02:45,850 INFO p_intercept: 0.12287579654848635 , std 0.24151251214088867 
2023-04-21 12:02:45,850 INFO p_pca_1: 0.0038389329225700687 , std 0.04466096597424492 
2023-04-21 12:02:45,850 INFO p_pca_2: 0.006934624487093595 , std 0.06291082661908276 
2023-04-21 12:02:45,850 INFO p_pca_3: 0.03554545694707725 , std 0.14307531792153222 
2023-04-21 12:02:45,850 INFO p_pca_4: 0.05521733422573587 , std 0.17283333979328153 
2023-04-21 12:02:45,850 INFO p_pca_5: 0.07329893930353733 , std 0.1931625391934287 
2023-04-21 12:02:45,850 INFO p_pca_6: 0.10952990110304839 , std 0.23178150263660327 
2023-04-21 12:02:45,850 INFO p_pca_7: 0.13888589987960728 , std 0.24967862628955087 
2023-04-21 12:02:45,850 INFO p_pca_8: 0.18091692378138374 , std 0.2739536580706777 
2023-04-21 12:02:45,850 INFO p_pca_9: 0.2221368592307419 , std 0.2923841898791468 
2023-04-21 12:02:45,850 INFO p_pca_10: 0.256306483894172 , std 0.3031203564520067 
2023-04-21 12:02:45,850 INFO pca_explained_1: 0.5824557457540972 , std 0.10429710551714395 
2023-04-21 12:02:45,850 INFO pca_explained_2: 0.7299738552345789 , std 0.0881802451239558 
2023-04-21 12:02:45,850 INFO pca_explained_3: 0.8057692177586178 , std 0.07419206501773098 
2023-04-21 12:02:45,850 INFO pca_explained_4: 0.8531547924260333 , std 0.05991018633051248 
2023-04-21 12:02:45,850 INFO pca_explained_5: 0.8866141369765241 , std 0.047796682011570564 
2023-04-21 12:02:45,850 INFO pca_explained_6: 0.9116261318095158 , std 0.0379801506850684 
2023-04-21 12:02:45,850 INFO pca_explained_7: 0.9309105224835071 , std 0.030159141361334338 
2023-04-21 12:02:45,850 INFO pca_explained_8: 0.9460445719831195 , std 0.023953199497734133 
2023-04-21 12:02:45,850 INFO pca_explained_9: 0.9579844091534149 , std 0.01915051914177842 
2023-04-21 12:02:45,850 INFO pca_explained_10: 0.9673726814689586 , std 0.015578001361684824 
