2023-04-20 05:34:37,741 INFO Tickers: ['DUK']
2023-04-20 05:35:02,237 INFO Negative OS: -2.6047402645810056 --- ticker DUK --- day 2018-03-15 --- time 36000
2023-04-20 05:35:33,357 INFO Negative OS: -0.6302119792169334 --- ticker DUK --- day 2019-09-03 --- time 50400
2023-04-20 05:35:39,350 INFO in_r2: 0.9245905884571796 , std 0.04950733411901093 
2023-04-20 05:35:39,350 INFO os_r2: 0.9093235990472822 , std 0.08183975474179389 
2023-04-20 05:35:39,350 INFO intercept: 3.1001152788862284e-07 , std 1.2709422633517311e-05 
2023-04-20 05:35:39,350 INFO pca_1: 8.88276069050264e-07 , std 9.232917156426227e-05 
2023-04-20 05:35:39,350 INFO pca_2: 2.6912055800490145e-06 , std 0.00021979441109251513 
2023-04-20 05:35:39,350 INFO pca_3: -1.1969885098222942e-06 , std 0.0001244236474900741 
2023-04-20 05:35:39,350 INFO pca_4: -6.694861720528303e-07 , std 0.00010209208338855599 
2023-04-20 05:35:39,350 INFO pca_5: 6.002782783879334e-07 , std 8.206221546353035e-05 
2023-04-20 05:35:39,350 INFO pca_6: -4.543967302117206e-07 , std 7.087091789771578e-05 
2023-04-20 05:35:39,350 INFO pca_7: -6.077040258861272e-07 , std 6.244341520731975e-05 
2023-04-20 05:35:39,350 INFO pca_8: 1.0517772723822562e-06 , std 5.751224361748919e-05 
2023-04-20 05:35:39,350 INFO pca_9: 1.1208606954488618e-07 , std 5.440149121765878e-05 
2023-04-20 05:35:39,350 INFO pca_10: -7.121934225674912e-07 , std 5.326511435444499e-05 
2023-04-20 05:35:39,350 INFO t_intercept: 0.14373980909620537 , std 4.038406431992876 
2023-04-20 05:35:39,350 INFO t_pca_1: 0.09262092981040536 , std 30.0058362380684 
2023-04-20 05:35:39,351 INFO t_pca_2: 0.7729641804479231 , std 40.601395745502444 
2023-04-20 05:35:39,351 INFO t_pca_3: -0.02078624199765753 , std 17.08477047167373 
2023-04-20 05:35:39,351 INFO t_pca_4: 0.058080606650289995 , std 11.71399722879715 
2023-04-20 05:35:39,351 INFO t_pca_5: 0.061121655736689866 , std 8.143841828470597 
2023-04-20 05:35:39,351 INFO t_pca_6: -0.01866593609935555 , std 6.227547339881992 
2023-04-20 05:35:39,351 INFO t_pca_7: -0.02520528198526938 , std 4.791855959025001 
2023-04-20 05:35:39,351 INFO t_pca_8: 0.05405313612969278 , std 3.8513964366886286 
2023-04-20 05:35:39,351 INFO t_pca_9: 0.024026353439759677 , std 3.0790386392650415 
2023-04-20 05:35:39,351 INFO t_pca_10: -0.011531984781686015 , std 2.5561668581383454 
2023-04-20 05:35:39,351 INFO p_intercept: 0.17329886482370352 , std 0.2699955536199875 
2023-04-20 05:35:39,351 INFO p_pca_1: 0.009516954652729469 , std 0.07166616190194122 
2023-04-20 05:35:39,351 INFO p_pca_2: 0.009700952314975553 , std 0.07383515294991572 
2023-04-20 05:35:39,351 INFO p_pca_3: 0.049847918697453135 , std 0.16386571726598992 
2023-04-20 05:35:39,351 INFO p_pca_4: 0.084264701133934 , std 0.2058396777539386 
2023-04-20 05:35:39,351 INFO p_pca_5: 0.13048721826308207 , std 0.24860666453841793 
2023-04-20 05:35:39,351 INFO p_pca_6: 0.18262052819791402 , std 0.2819237357316833 
2023-04-20 05:35:39,351 INFO p_pca_7: 0.222233174129842 , std 0.2949699466143448 
2023-04-20 05:35:39,351 INFO p_pca_8: 0.25764045753828796 , std 0.30298120840624815 
2023-04-20 05:35:39,351 INFO p_pca_9: 0.29202829568026917 , std 0.3111668928551692 
2023-04-20 05:35:39,351 INFO p_pca_10: 0.315506365986616 , std 0.3126280519710424 
