2023-04-20 05:24:49,177 INFO Tickers: ['VZ']
2023-04-20 05:25:44,756 INFO Negative OS: -5.21597737138696 --- ticker VZ --- day 2019-08-28 --- time 52200
2023-04-20 05:25:51,068 INFO in_r2: 0.9739315547816862 , std 0.027071528271626323 
2023-04-20 05:25:51,068 INFO os_r2: 0.9531985026859341 , std 0.09011728675452765 
2023-04-20 05:25:51,068 INFO intercept: -6.612124259183083e-08 , std 1.358647515076672e-05 
2023-04-20 05:25:51,068 INFO pca_1: 6.949106928167558e-07 , std 0.00018975017305706887 
2023-04-20 05:25:51,068 INFO pca_2: -3.0781144723388917e-06 , std 0.00014424687322863307 
2023-04-20 05:25:51,068 INFO pca_3: 2.5472470888497783e-06 , std 0.00014490464245777893 
2023-04-20 05:25:51,068 INFO pca_4: 2.5650998715483787e-06 , std 0.00017070747984162786 
2023-04-20 05:25:51,068 INFO pca_5: -2.669211097727113e-06 , std 0.00015960620715209159 
2023-04-20 05:25:51,068 INFO pca_6: -1.5169331133131256e-06 , std 0.00014257987793149597 
2023-04-20 05:25:51,068 INFO pca_7: -3.218335276321758e-06 , std 0.00013328300891132905 
2023-04-20 05:25:51,068 INFO pca_8: -1.2049791508181625e-06 , std 0.00012171981844222283 
2023-04-20 05:25:51,068 INFO pca_9: 5.372060127098903e-07 , std 0.00011435625070452554 
2023-04-20 05:25:51,068 INFO pca_10: -1.115573383825522e-06 , std 0.00011194826212192235 
2023-04-20 05:25:51,068 INFO t_intercept: -0.1256092239653211 , std 7.824830090229998 
2023-04-20 05:25:51,068 INFO t_pca_1: -0.4153105889483444 , std 93.77071809495523 
2023-04-20 05:25:51,068 INFO t_pca_2: -1.0416542770536006 , std 43.43776847292997 
2023-04-20 05:25:51,068 INFO t_pca_3: 0.38028042789977995 , std 28.160951660363153 
2023-04-20 05:25:51,068 INFO t_pca_4: 0.4165519651219098 , std 25.17711949334039 
2023-04-20 05:25:51,068 INFO t_pca_5: -0.4231318390396214 , std 18.720285728935302 
2023-04-20 05:25:51,068 INFO t_pca_6: -0.17606817104870745 , std 13.84714556653255 
2023-04-20 05:25:51,068 INFO t_pca_7: -0.23668077911303617 , std 10.923361617621701 
2023-04-20 05:25:51,069 INFO t_pca_8: -0.07175751075342222 , std 8.670696298070336 
2023-04-20 05:25:51,069 INFO t_pca_9: 0.03896808891432637 , std 6.922005627478102 
2023-04-20 05:25:51,069 INFO t_pca_10: -0.023648649425083577 , std 5.745113647153182 
2023-04-20 05:25:51,069 INFO p_intercept: 0.11011185376201564 , std 0.24721428293864828 
2023-04-20 05:25:51,069 INFO p_pca_1: 0.0037123525886940266 , std 0.0464523465513466 
2023-04-20 05:25:51,069 INFO p_pca_2: 0.022484162506638063 , std 0.11359516302196596 
2023-04-20 05:25:51,069 INFO p_pca_3: 0.033882514401623924 , std 0.1410147580202106 
2023-04-20 05:25:51,069 INFO p_pca_4: 0.0297680761246801 , std 0.12868232477190922 
2023-04-20 05:25:51,069 INFO p_pca_5: 0.04134845267708764 , std 0.15094820518504998 
2023-04-20 05:25:51,069 INFO p_pca_6: 0.051157414881365784 , std 0.1645992841173296 
2023-04-20 05:25:51,069 INFO p_pca_7: 0.06869330658189048 , std 0.18840835968626177 
2023-04-20 05:25:51,069 INFO p_pca_8: 0.0904875546880239 , std 0.21267290061245372 
2023-04-20 05:25:51,069 INFO p_pca_9: 0.11628220593312096 , std 0.23457841620870581 
2023-04-20 05:25:51,069 INFO p_pca_10: 0.13234425972493424 , std 0.24773365676327946 
