2023-04-21 12:01:43,450 INFO Experiment: individual_price_impact
2023-04-21 12:13:26,363 INFO in_r2: 0.9057302106002618 , std 0.11013912140828859 
2023-04-21 12:13:26,363 INFO os_r2: 0.8624795915002115 , std 0.6026651054389885 
2023-04-21 12:13:26,363 INFO intercept: -1.1794758449216163e-07 , std 1.684652484642127e-05 
2023-04-21 12:13:26,363 INFO pca_1: -2.7581818433115692e-06 , std 0.00013765838491440008 
2023-04-21 12:13:26,363 INFO pca_2: -2.220321403628362e-06 , std 0.00019044081546880828 
2023-04-21 12:13:26,363 INFO pca_3: -2.973902020394246e-07 , std 0.00015596495642997209 
2023-04-21 12:13:26,363 INFO pca_4: 2.2719208396376197e-07 , std 0.00015689735039544904 
2023-04-21 12:13:26,363 INFO pca_5: -8.026272138693293e-07 , std 0.0001480235442264139 
2023-04-21 12:13:26,363 INFO pca_6: -7.547690914366358e-07 , std 0.00013558419318876212 
2023-04-21 12:13:26,363 INFO pca_7: -6.319877776903867e-07 , std 0.00012351254719807124 
2023-04-21 12:13:26,363 INFO pca_8: -4.26934505464971e-07 , std 0.00011264474727334054 
2023-04-21 12:13:26,363 INFO pca_9: -3.012299927342249e-07 , std 0.000105437888242691 
2023-04-21 12:13:26,364 INFO pca_10: -3.063918610625743e-07 , std 0.00010233035315494069 
2023-04-21 12:13:26,364 INFO t_intercept: 0.04432868605943384 , std 7.438784640432239 
2023-04-21 12:13:26,364 INFO t_pca_1: -1.9363467281893978 , std 82.31406072594912 
2023-04-21 12:13:26,364 INFO t_pca_2: -0.40332302541225507 , std 56.73439103970867 
2023-04-21 12:13:26,364 INFO t_pca_3: 0.03549643565239202 , std 28.694704099032005 
2023-04-21 12:13:26,364 INFO t_pca_4: 0.10789317819525167 , std 21.46282818373285 
2023-04-21 12:13:26,364 INFO t_pca_5: -0.038324443231261135 , std 14.286315270440568 
2023-04-21 12:13:26,364 INFO t_pca_6: -0.045549387417239816 , std 10.061328489244564 
2023-04-21 12:13:26,364 INFO t_pca_7: -0.01902039617506806 , std 7.63329913957979 
2023-04-21 12:13:26,364 INFO t_pca_8: -0.01919489857903809 , std 5.9407702617913145 
2023-04-21 12:13:26,364 INFO t_pca_9: -0.007991147682021759 , std 4.797497156967204 
2023-04-21 12:13:26,364 INFO t_pca_10: -0.010303056017441513 , std 4.070678673210164 
2023-04-21 12:13:26,364 INFO p_intercept: 0.17477004642258812 , std 0.2787166748145856 
2023-04-21 12:13:26,364 INFO p_pca_1: 0.008013872895580957 , std 0.06761035579429416 
2023-04-21 12:13:26,364 INFO p_pca_2: 0.02243732671154701 , std 0.11297066077625975 
2023-04-21 12:13:26,364 INFO p_pca_3: 0.0542294370348104 , std 0.17040772848774183 
2023-04-21 12:13:26,364 INFO p_pca_4: 0.0752719745145012 , std 0.19729611317636794 
2023-04-21 12:13:26,364 INFO p_pca_5: 0.09781390816702727 , std 0.22029163908950747 
2023-04-21 12:13:26,364 INFO p_pca_6: 0.1315545101340514 , std 0.2483888341802308 
2023-04-21 12:13:26,364 INFO p_pca_7: 0.16479594586154656 , std 0.2692518682643222 
2023-04-21 12:13:26,364 INFO p_pca_8: 0.19630675200250736 , std 0.2845155358457693 
2023-04-21 12:13:26,364 INFO p_pca_9: 0.22354767544837834 , std 0.2947331121052766 
2023-04-21 12:13:26,364 INFO p_pca_10: 0.2457659403182895 , std 0.3012161575033011 
2023-04-21 12:13:26,364 INFO pca_explained_1: 0.5943127022177844 , std 0.121756312287421 
2023-04-21 12:13:26,364 INFO pca_explained_2: 0.7445893360629021 , std 0.09484322504832689 
2023-04-21 12:13:26,364 INFO pca_explained_3: 0.8166089801656939 , std 0.07721985625417806 
2023-04-21 12:13:26,364 INFO pca_explained_4: 0.8616332465382597 , std 0.06302567244888864 
2023-04-21 12:13:26,364 INFO pca_explained_5: 0.8924937344256971 , std 0.0514658720402401 
2023-04-21 12:13:26,364 INFO pca_explained_6: 0.9150387034212119 , std 0.042171940539173905 
2023-04-21 12:13:26,364 INFO pca_explained_7: 0.9321643372243633 , std 0.034744004139410055 
2023-04-21 12:13:26,364 INFO pca_explained_8: 0.945504612846815 , std 0.02877633511971497 
2023-04-21 12:13:26,364 INFO pca_explained_9: 0.9560654720360244 , std 0.02397683060910114 
2023-04-21 12:13:26,364 INFO pca_explained_10: 0.9645014345191706 , std 0.020099315306549657 
