2023-04-20 05:25:51,074 INFO Tickers: ['PFE']
2023-04-20 05:25:55,334 INFO Negative OS: -0.002284362914082072 --- ticker PFE --- day 2017-03-15 --- time 48600
2023-04-20 05:25:59,475 INFO Negative OS: -1.104602510231575 --- ticker PFE --- day 2017-05-24 --- time 45000
2023-04-20 05:26:04,287 INFO Negative OS: -0.4664605881695809 --- ticker PFE --- day 2017-08-14 --- time 43200
2023-04-20 05:26:04,404 INFO Negative OS: -0.324639055251271 --- ticker PFE --- day 2017-08-15 --- time 52200
2023-04-20 05:26:11,547 INFO Negative OS: -0.15703861547950604 --- ticker PFE --- day 2017-12-13 --- time 46800
2023-04-20 05:26:11,971 INFO Negative OS: -15.795970065673473 --- ticker PFE --- day 2017-12-20 --- time 43200
2023-04-20 05:26:23,681 INFO Negative OS: -0.02514516907443709 --- ticker PFE --- day 2018-07-09 --- time 41400
2023-04-20 05:26:24,404 INFO Negative OS: -0.005168174498413336 --- ticker PFE --- day 2018-07-19 --- time 50400
2023-04-20 05:26:24,624 INFO Negative OS: -0.16223188118195986 --- ticker PFE --- day 2018-07-24 --- time 37800
2023-04-20 05:26:25,139 INFO Negative OS: -0.11001330734054537 --- ticker PFE --- day 2018-08-01 --- time 36000
2023-04-20 05:26:25,359 INFO Negative OS: -0.41854899145959634 --- ticker PFE --- day 2018-08-03 --- time 50400
2023-04-20 05:26:33,890 INFO Negative OS: -0.45088532325439634 --- ticker PFE --- day 2018-12-19 --- time 48600
2023-04-20 05:26:37,332 INFO Negative OS: -0.4489717253043093 --- ticker PFE --- day 2019-02-15 --- time 48600
2023-04-20 05:26:40,953 INFO Negative OS: -0.42883615480413795 --- ticker PFE --- day 2019-04-15 --- time 48600
2023-04-20 05:26:45,050 INFO Negative OS: -0.03451070293340974 --- ticker PFE --- day 2019-06-19 --- time 52200
2023-04-20 05:26:56,271 INFO in_r2: 0.9758113183478169 , std 0.026133213814659904 
2023-04-20 05:26:56,271 INFO os_r2: 0.9414403055662725 , std 0.2176979346469842 
2023-04-20 05:26:56,271 INFO intercept: 2.343211578221916e-07 , std 1.334650636862613e-05 
2023-04-20 05:26:56,271 INFO pca_1: -2.7338956713761574e-06 , std 0.00020663917910963286 
2023-04-20 05:26:56,271 INFO pca_2: 4.82445873543136e-06 , std 0.00017072483917878094 
2023-04-20 05:26:56,271 INFO pca_3: 1.9876625154282488e-07 , std 0.00021187806417353615 
2023-04-20 05:26:56,271 INFO pca_4: 8.539817212181014e-06 , std 0.00023806129872066265 
2023-04-20 05:26:56,271 INFO pca_5: -5.469640273868637e-06 , std 0.00022688037424621997 
2023-04-20 05:26:56,271 INFO pca_6: 9.645224192064634e-07 , std 0.00021301579485026944 
2023-04-20 05:26:56,271 INFO pca_7: 1.455860366471611e-06 , std 0.00019651816302402008 
2023-04-20 05:26:56,271 INFO pca_8: 1.3388876382750677e-06 , std 0.00018012971065865132 
2023-04-20 05:26:56,271 INFO pca_9: -5.467404742929096e-07 , std 0.00017464510730149364 
2023-04-20 05:26:56,271 INFO pca_10: -3.792360370216006e-06 , std 0.00018459698142345813 
2023-04-20 05:26:56,271 INFO t_intercept: 0.16544987982803977 , std 8.35773848913688 
2023-04-20 05:26:56,271 INFO t_pca_1: -2.1196826892235916 , std 102.93713180351605 
2023-04-20 05:26:56,271 INFO t_pca_2: 1.4744328119234402 , std 45.264581363814834 
2023-04-20 05:26:56,272 INFO t_pca_3: -0.08129677403314814 , std 34.79723972522598 
2023-04-20 05:26:56,272 INFO t_pca_4: 0.9836327726831966 , std 28.73579393846834 
2023-04-20 05:26:56,272 INFO t_pca_5: -0.4743789169619931 , std 19.531467321464145 
2023-04-20 05:26:56,272 INFO t_pca_6: 0.05068927584639853 , std 14.725143491499605 
2023-04-20 05:26:56,272 INFO t_pca_7: 0.12204707421416028 , std 11.452869807717772 
2023-04-20 05:26:56,272 INFO t_pca_8: 0.08136771173804934 , std 8.836920880643548 
2023-04-20 05:26:56,272 INFO t_pca_9: 0.017214050563278308 , std 7.163817257122188 
2023-04-20 05:26:56,272 INFO t_pca_10: -0.0974929698658517 , std 6.3608365568236955 
2023-04-20 05:26:56,272 INFO p_intercept: 0.10975876411285612 , std 0.24890901504472815 
2023-04-20 05:26:56,272 INFO p_pca_1: 0.0011000990602135787 , std 0.020955965692143797 
2023-04-20 05:26:56,272 INFO p_pca_2: 0.022060864241865014 , std 0.11021212269062174 
2023-04-20 05:26:56,272 INFO p_pca_3: 0.02544073120537252 , std 0.11832139113974936 
2023-04-20 05:26:56,272 INFO p_pca_4: 0.027160329703855783 , std 0.12241131705169919 
2023-04-20 05:26:56,272 INFO p_pca_5: 0.03784019358269956 , std 0.14355675218771302 
2023-04-20 05:26:56,272 INFO p_pca_6: 0.046656391887080664 , std 0.1575034769346666 
2023-04-20 05:26:56,272 INFO p_pca_7: 0.06797416304934532 , std 0.19234601814301971 
2023-04-20 05:26:56,272 INFO p_pca_8: 0.08679124228100728 , std 0.2085779679713028 
2023-04-20 05:26:56,272 INFO p_pca_9: 0.10687360670237901 , std 0.22518668901149344 
2023-04-20 05:26:56,272 INFO p_pca_10: 0.12279887709623573 , std 0.23673163045640228 
